id,name,designation,greek,constellation,search,wikistatus,ra1,ra2,ra3,dec1,dec2,dec3,ra,dec,appmag_v,class,mass,radius,text
241,MUPHRID,,,Boötis,Eta Boötis,cache,13,54,41.07892,18,23,51.7946,3.6419988338,0.3211008015,2.68,G0 IV,1.71 ± 0.05,,"Mature vaudeville star, source of low comedy and high jinks. The ""sad trombone"" sound was invented on its fourth planet."
242,MURZIM,,,Canis Majoris,Beta Canis Majoris,cache,6,22,41.98535,-17,57,21.3073,1.6698426965,-0.3133899014,1.98,B1 II-III,13.5 ± 0.5,,"B-giant with planetary companion bearing biosphere spectral fingerprint LID106AD569 (""hat planet"")"
243,MUSCIDA,,,Ursae Majoris,Omicron Ursae Majoris,cache,8,30,15.87064,60,43,5.4115,2.2264489418,1.0597319799,3.35,G4 II–III,3.09,,"Parallel version of MUSCIDA and MUSCIDA (qq.v.) Here, the third mandibular consonant has no voiced form."
244,MUSCIDA,,,Ursae Majoris,Pi1 Ursae Majoris,cache,8,39,11.7044,65,1,15.2667,2.2264489418,1.0597319799,5.63,G,3.09,,"Parallel version of MUSCIDA and MUSCIDA (qq.v.) Here, the Ovipositor Coup was crushed; males are still chattels."
245,MUSCIDA,,,Ursae Majoris,Pi2 Ursae Majoris,cache,8,40,12.81767,64,19,40.57,2.2264489418,1.0597319799,4.62,K,3.09,,"Parallel version of MUSCIDA and MUSCIDA (qq.v.) Here, a time-traveller to the Mammal Age prevented civilisation."
246,MYIA,,,Muscae,Alpha Muscae,cache,12,37,11.01789,-69,8,8.0332,3.303836853,-1.2066432356,2.69,B2 IV-V,8.8 ± 0.1,,Oasis system whose multiple worlds have biomes to suite any traveller. Beware of nearby mirages.
247,NAOS,,,Puppis,Zeta Puppis,cache,8,3,35.1,-40,0,11.6,2.1100376158,-0.6981879392,2.21,O4If(n)p,22.5,,"O-type giant on the run from its home cluster, an extremely ultraviolet star bound to end as a black hole or worse."
248,NASHIRA,,,Capricorni,Gamma Capricorni,cache,21,40,5.4563,-16,39,44.308,5.6727168623,-0.2908121317,3.69,F0p,,,"Famed as the ""Lucky Star"", its planet has survived gas clouds, dragons, strangelets, invasions and terraforming."
249,NAVI,,,Cassiopeiae,Gamma Cassiopeiae,cache,0,56,42.50108,60,43,0.2984,0.247436861,1.0597071909,2.47,B0.5 IVe,19.3 ± 0.1,,"Fine example of a shell star, this B-subgiant has made its home in an older star's discarded integument."
250,NEKKAR,,,Boötis,Beta Boötis,cache,15,1,56.76238,40,23,26.0406,3.9354820169,0.704948378,3.488,G8IIIa,3.4 ± 0.2,,Metal-rich star with blistering fretwork and a tendency to exhibit enormous flares.
251,NEMBUS,,,Andromedae,51 Andromedae,cache,1,37,59.56,48,37,41.6,0.427573669,0.8487225872,3.57,K3III,2.3,,"Respectable K-giant, formerly υ Persei, it was rezoned to avoid the stigma of ALGOL and its subsidiaries."
252,NIHAL,,,Leporis,Beta Leporis,cache,5,28,14.72316,-20,45,33.9878,1.432240685,-0.3623205973,2.84,G5 II,3.5 ± 0.1,,"G-type giant, home to a race of inverse solipsist AIs who believe that everything but their own consciousnesses exists."
253,NUNKI,,,Sagittarii,Sigma Sagittarii,cache,18,55,15.9265,-26,17,48.2068,4.9535299603,-0.4589644182,2.06,B2.5 V,7.8 ± 0.2,,"Adorable blue star, all of its rocky worlds were planed down into cubes by a forgotten and fussy civilisation."
254,NUSAKAN,,,Coronae Borealis,Beta Coronae Borealis,cache,15,27,49.7308,29,6,20.53,4.0484170673,0.5079903446,3.7,A9SrEuCr / ?,,,"Once a fabled treasure planet, its third world's service industries now employ many time-dilated adventurers."
255,OKUL,,,Capricorni,Pi Capricorni,cache,20,27,19.2,18,12,42,5.3551937439,0.3178535456,5.08,B,,,Binary system whose primary is the eye — now eternally watchful and unblinking — of a disgraced guardian demiurge.
256,PAE CHAOU,,,Delphini,Epsilon Delphini,cache,20,33,12.8,11,18,12,5.3809082615,0.1972803831,4.03,B6III, ,,"Giant star in an advanced state of maturation, with a bruised chromosphere and somewhat overripe spectrum."
,PALIDA,,,Crucis,Delta Crucis,,,,,,,,,,,,,,
257,PEACOCK,,,Pavonis,Alpha Pavonis,cache,20,25,38.85705,-56,44,6.323,5.3478965986,-0.9902141171,1.91,B2 IV,6.3 ± 0.2,,Binary orbited by a desolate world on which explorers found the fossilised remains of a NAAFI. See also: AVIOR.
258,PENNAE CAUDALIS,,,Cygni,Pi2 Cygni,cache,21,46,47.61,49,18,34.5,5.7019623047,0.860614582,4.23,B,,,"Elegant, pied star with beautiful plumage, home to a race of empiricists who are surprised each time it rises."
259,PEREGRINI,,,Velorum,Mu Velorum,cache,10,46,46.17877,-49,25,12.9244,2.8220649569,-0.862546198,2.69,G5III + G2V,3.3,,"Near the intersection of seven major pilgrimage routes, this system is famed for its temples and fortifications."
260,THE PERSIAN,,,Indi,Alpha Indi,cache,20,37,34.03201,-47,17,29.4026,5.3999055894,-0.8253923958,3.11,K0 III-IV,2,,K-giant cloaked in a dark nebula and what is held by many to be a somewhat too ostentatious air of mystery.
261,PHACT,,,Columbae,Alpha Columbae,cache,5,39,38.94103,-34,4,26.795,1.4819984127,-0.5947054043,2.645,B7 IV,4.5,,"A-subgiant, home of Mens, a planet-sized computer from the second empire. It has been defragmenting for two cosmic years."
262,PHAD,,,Ursae Majoris,Gamma Ursae Majoris,cache,11,53,49.84732,53,41,41.135,3.1146743911,0.9371503482,2.438,A0 Ve,2.62,,"Home system of the Patterners, an order of demiurges responsible for attitudes, dispositions and trends."
263,PHERKAD MAJOR,,,Ursae Minoris,Gamma Ursae Minoris,cache,15,20,43.71604,71,50,2.4596,4.0174363997,1.2537401038,3.05,A3 Iab:,,,"Capital star of the least efficient stellar empire in history, whence the phrase ""completely Pherkad""."
264,PHERKAD MINOR,,,Ursae Minoris,11 Ursae Minoris,cache,15,17,5.89,71,49,26,4.0015956431,1.2535633427,5.024,K4III,1.8 ± 0.25,,"K-giant, established as backup capital and audit mirror of the empire of PHERKAD MAJOR (q.v.)."
265,PHORBACEUS,,,Ophiuchi,72 Ophiuchi,cache,18,7,21.02,9,33,49.2,4.7444608598,0.1669174719,3.71,A,,,"Scene of an ancient atrocity, constellations in which it appears were expunged from the zodiacs of many worlds."
266,PLEIONE,,,Tauri,28 Tauri,cache,3,49,11.2161,24,8,12.163,1.0000166546,0.421265094,5.048,B8IVpe ,3.4,,"Blue giant whose variability is due to a circumstellar gas disk, polar winds, a mild inferiority complex and tidal mumps."
267,POLARIS,,,Ursae Minoris,Alpha Ursae Minoris,cache,2,31,49.09,89,15,50.8,0.6624317182,1.5579526428,1.97,F,,,"Current lodestar of Earth, a grand star system whose many species are yet haunted by dreams of navigating apes."
268,POLARIS AUSTRALIS,,,Octantis,Sigma Octantis,cache,21,8,46.8,-88,57,23,5.5360971209,1.5525818768,5.42,F0 III,,,"Earth's southern Pole Star, its insufficient wattage was condemned in the proceedings of the Lodestar Club."
269,POLIS,,,Sagittarii,Mu Sagittarii,cache,18,13,45.8,,3,32,4.7724428511,0.3675469479,3.84,B,,,"Quadruple system networked by the Skein and bustling with traffic, its inhabitants think orbits are for ""rubes""."
270,POLLUX,,,Geminorum,Beta Geminorum,cache,7,45,18.94987,28,1,34.316,2.0303233289,0.4891494474,1.15,K0 III,2.04 ± 0.3,,"K-giant whose one planet has one moon with one mountain with one cave in which lives one creature, named Pollux."
271,PORRIMA,,,Virginis,Gamma Virginis,cache,12,41,39.64344,-1,26,57.7421,3.3233718542,-0.0252963275,2.7,F0 V/F0 V,,,"Home to the Time Ladies, demiurges charged with averting, or rendering instructive or amusing, causality paradoxes."
272,PRAECIPUA,,,Leonis Minoris,46 Leonis Minoris,cache,10,53,18.70487,34,12,53.5375,2.8506102604,0.5971621613,3.83,K0+III-IV,,,K-subgiant at the fixed point of our Galaxy; a foldspace drive activated here will take you exactly nowhere.
273,PRIMA STRUTHIONUM,,,Ceti,Eta Ceti,cache,1,8,35.39148,-10,10,56.157,0.2992797139,-0.1777140641,3.446,K1 III,1.0–1.4,,"Robust, peppery red giant with subtle tobacco and chocolate notes, an excellent complement to rare earths."
274,PRIMUS HYADUM,,,Tauri,Gamma Tauri,No coords,4,19,47.6037,15,37,39.512,,,3.65,K,,,"K-giant, home to the oldest civilisation in the Hyades, an echinoderm race famed for poetry and lava-sculpting."
275,PRINCEPS,,,Boötis,Delta Boötis,cache,15,15,30.16295,33,18,53.3926,3.9946341756,0.5814534955,3.5,G8 III,,,"Rare example of a purple dwarf, a volatile star with high-energy emissions over a wide range of musical genres."
276,PROCYON,,,Canis Minoris,Alpha Canis Minoris,cache,7,39,18.1195,5,13,29.9552,2.0040830039,0.0911932362,0.34,F5 IV–V,1.42 ± 0.04,,"F-subgiant, its white dwarf companion is host to a dragon colony that migrated from SOL in the distant past."
277,PULCHERRIMA,,,Boötis,Epsilon Boötis,cache,14,44,59.21746,27,4,27.2099,3.8614840621,0.4725343682,2.37,K0 II-III,4.6,,"Beautiful if narcissistic binary pair, a white sphere and an orange, tidally locked in mutual adoration."
278,QUARTA STRUTHIONUM,,,Ceti,Zeta Ceti,No coords,1,51,28,-10,20,6,,,3.9,K,,,K-giant whose desert planet was colonised by a hominid species expert at believing their own legal fictions.
279,QUINTA STRUTHIONUM,,,Ceti,Upsilon Ceti,cache,2,0,0.31,21,4,40,0.5236213194,0.3678766212,3.99,K,,,"Red giant orbited by a strange megastructure thought by scholars to be a prison, hospital, ship or resort."
280,RANA,,,Eridani,Delta Eridani,cache,3,43,14.9,-9,45,48.2,0.9741046166,-0.1704032823,3.54,K0 IV,1.33 ± 0.07,,"K-subgiant with planetary companion bearing biosphere spectral fingerprint BRKE7E7E7E7 (""swamp planet"")"
281,RAS ALGETHI,,,Herculis,Alpha Herculis,cache,17,14,38.8,14,23,25,4.514497732,0.2511577275,3,M5IIvar / (G5III+F2V),2.15 ± 0.22,,"Home to a planet-wide sentient ocean whose enigmatic signals are now thought to mean: ""HELP, I CAN'T GET UP""."
282,RAS ALHAGUE,,,Ophiuchi,Alpha Ophiuchi,cache,17,34,56.06945,12,33,36.1346,4.6030200645,0.2192140066,2.1,A5 III,2.40{{+-,,"White star, site of the Court of Relativity, with jurisdiction over spacelike precedence and looped successions."
283,RAS ELASED AUSTRALIS,,,Leonis,Epsilon Leonis,cache,9,45,51.0733,23,46,27.3208,2.5562581862,0.4149390405,2.98,G1 II,4.01,,Prosperous system which punishes any migrants whose desperation reminds the inhabitants how lucky they are.
284,RAS ELASED BOREALIS,,,Leonis,Mu Leonis,No coords,9,52,45,26,0,23,,,4.1,K,,,"Whiter-than-white star, a projection of the dreams of the ruling caste of RAS ELASED AUSTRALIS (q.v.)"
285,RASTABAN,,,Draconis,Beta Draconis,cache,17,30,25.9617,52,18,4.9993,4.5833772746,0.9128314361,2.79,G2 Ib–IIa,6.0 ± 0.2,,"Location of Yll's homeworld, devasted by dragons in her youth, an event which triggered her scientific career."
286,REGOR,,,Velorum,Gamma Velorum,cache,8,9,31.95013,-47,20,11.7108,2.1359884896,-0.8261792882,1.78,O,9/30,,"Vast Wolf-Rayet star orbiting a hot O-dwarf, emitting gas clouds said to haunted by the ghosts of ancient astronauts."
287,REGULUS,,,Leonis,Alpha Leonis,No coords,10,8,17,11,59,0,,,1.35,B,,,"Lost quadruple system, its final message: ""OH SUITCASES FULL OF BLUE PUPPETS, SAVE US FROM THE PLIGHT OF LITTLE KING!"""
288,REVENANTE OF THE SWAN,,,Cygni,P Cygni,cache,20,17,47.2018,38,1,58.549,5.313596861,0.6637998575,4.795,B1Ia+,30,,"Distant, undead star, a haggard giant, brightening in visible frequencies as it dims in the ultraviolet."
289,RIGEL,,,Orionis,Beta Orionis,cache,5,14,32.2721,-8,12,5.8981,1.3724303562,-0.1431455935,0.12,B8 Ia,18,,"Blue supergiant, gateway to Orion. Famous as the home system of a band of legendary AI warriors, the Rigel Ro-Friends."
290,RIGIL KENTAURUS,,,Centauri,Alpha Centauri,cache,14,39,36.4951,-60,50,2.308,3.8380150298,-1.0617531511,-0.27,G2 V,1.1,,"Triple system inhabited by centaurs, the coincidence of names being a race-memory of their brief visit to SOL."
291,RIJL AL AWWA,,,Virginis,Mu Virginis,cache,14,43,3.6,5,39,30,3.8530761232,0.0987565468,3.87,F,,,"F-dwarf, its second planet home to an urbane species of pack predator who melodiously call to multiple moons."
292,ROTANEV,,,Delphini,Beta Delphini,cache,20,37,32.9413,14,35,42.3195,5.3998262707,0.2547323533,3.6,F5 III + F5 IV,1.75 ± 0.002,,"F-binary pair, astronomer Niccolò Cacciatore gave it the reversed Latin form of his own surname. See also: SUALOCIN."
293,RUCHBA,,,Cygni,Omega1 Cygni,cache,20,30,3.54116,48,57,5.6446,5.3671449703,0.8543660346,5.44,M,,,B-giant. A probe launched from this system into a nearby flexure point of the galactic animal caused the Great Voidquake.
294,RUCHBAH,,,Cassiopeiae,Delta Cassiopeiae,cache,1,25,48.95147,60,14,7.0225,0.3744423174,1.0513040322,2.68,A5III-IVv,2.5,,Bright young giant star which has exhausted both its supplies of hydrogen and its parent cluster's patience.
295,RUKBALGETHI GENUBI,,,Herculis,Theta Herculis,cache,17,56,15.1805,37,15,1.941,4.696039645,0.6501445566,3.851,K1IIaCN,6.5,,"The ""Southern Knee"", at war with RUKBALGETHI SHEMALI (q.v.) following a disputed refereeing decision."
296,RUKBALGETHI SHEMALI,,,Herculis,Tau Herculis,cache,16,19,44.4368,46,18,48.119,4.2749248795,0.8083207312,3.89,B5 IV,4.9,,"The ""Northern Knee"", at war with RUKBALGETHI GENUBI (q.v.) Sadly, the recent truce may only be halftime."
297,RUKBAT,,,Sagittarii,Alpha Sagittarii,cache,19,23,53.17483,-40,36,57.3705,5.0784117829,-0.7088818163,3.97,B8 V,,,"B-dwarf, home to the Thieves' Planet, a place of sound ethical values ever since they stole another species' mores."
298,RUKH,,,Cygni,Delta Cygni,cache,19,44,58.47854,45,7,50.9161,5.1704272653,0.7876812291,2.87,B9 III + F1 V,2.6,,The Parliament of Rukh is one of the Galaxy's oldest anarchies. Its chief exports are political theorists and assassins.
299,THE RUNAWAY STAR,,,1830,Groombridge 1830,cache,11,52,58.7691,37,43,7.239,3.1109598781,0.6583151119,6.44,G8Vp,0.661,,"F-dwarf with apparently high proper motion, caught on a void snag while the Galaxy streams around it."
300,RUTICULUS,,,Herculis,Zeta Herculis,cache,16,41,17.16104,31,36,9.7873,4.3689344392,0.5515714938,2.81,F9 IV + G7 V,1.45 ± 0.01,,"Binary system, home to a transcended race who tired of aloof godhood and went ""from the sublime to the Ruticulus""."
301,SABIK,,,Ophiuchi,Eta Ophiuchi,cache,17,10,22.68689,-15,43,29.6639,4.4958726611,-0.2744513954,2.43,A1 V + A3 V,2.966,,White binary pair in a highly eccentric orbit which gives both members a little space every now and then.
302,SADACHBIA,,,Aquarii,Gamma Aquarii,cache,22,21,39.37542,-1,23,14.4031,5.8540797787,-0.0242135495,3.849,A0 V, ,,"A-dwarf, current resting place of the Tabernacle, a demountable shrine the size of a small planet."
303,SADALBARI,,,Pegasi,Mu Pegasi,No coords,22,50,0.19315,24,36,5.6984,,,3.5,G,,,"Appearing as twin stars 200 ly apart, this yellow giant was being translocated through a wormhole and got stuck."
304,SADALMELIK,,,Aquarii,Alpha Aquarii,cache,22,5,47.03593,0,19,11.4568,5.7848236966,-0.0055824201,2.942,G2 Ib,6.5 ± 0.3,,"Vast golden supergiant, the inhabitants of its five worlds find the light of other suns to be sickly by comparison."
305,SADALPHERETZ,,,Pegasi,Lambda Pegasi,cache,22,46,31.87786,23,33,56.3561,5.962617619,0.4112982609,3.96,G8II-III,"~1,5",,Yellow giant which was displaced from its station by SADALBARI and then sold its naming rights to a local wizard.
306,SADALSUUD,,,Aquarii,Beta Aquarii,cache,21,31,33.53171,-5,34,16.232,5.6354886556,-0.0972353567,2.87,G0 Ib,6.0–6.5,,"Not just a lucky star, but the luckiest, this G-type giant has a wide Goldilocks zone and a winning personality."
307,SADIRA,,,Eridani,Epsilon Eridani,cache,3,32,55.84496,-9,27,29.7312,0.9290856637,-0.1650777552,3.736,K2V,0.82 ± 0.02,,"Small, K-class star, a near neighbour of SOL, surrounded by belts of asteroids that never quite got it together."
308,SADR,,,Cygni,Gamma Cygni,cache,20,22,13.70184,40,15,24.045,5.3329772908,0.7026115974,2.24,F8 Iab,12.11 ± 0.71,,"Syrupy, aromatic yellow supergiant with mucilaginous flesh and a chewy nougat core."
309,SAIPH,,,Orionis,Kappa Orionis,cache,5,47,45.38884,-9,40,10.5777,1.5173738957,-0.1687664432,2.05,B0.5 Iab:,15.50 ± 1.25,,"B-giant in the Orion supernova factory, site of an environmental dispute between demiurges and preservationists."
310,SALM,,,Pegasi,Tau Pegasi,No coords,23,20,38.2,23,44,25,,,4.1,A,,,Bland white star whose spectrum will put most biological sophonts into a light coma. AI pilots are essential.
311,SARGAS,,,Scorpii,Theta Scorpii,cache,17,37,19.12985,-42,59,52.1808,4.6134237103,-0.7504536698,1.86,F0 II,5.66 ± 0.65,,"Evolved yellow giant at a still point in the Galaxy, surrounded by a cloud of odd socks, pens and minor pop deities."
312,SARIN,,,Herculis,Delta Herculis,cache,17,15,1.9106,24,50,21.135,4.5161783823,0.4335258963,3.126,A3IV,2.4,,"An A-giant and F-dwarf in a tight orbit, in turn orbited by a yellow dwarf that feels like a bit of a third wheel."
313,SARIR,,,Ursae Majoris,Theta Ursae Majoris,cache,9,32,51.4339,51,40,38.2811,2.4995612091,0.9019390389,3.166,F6 IV,1.41,,"F-subgiant, its fourth planet is a rare example of a glass giant, a great orb refracting the constellations."
314,SASIN,,,Leporis,Epsilon Leporis,cache,5,5,27.66537,-22,22,15.7239,1.3328254371,-0.3904482076,3.166,K4 III,1.70 ± 0.19,,"Young, jumped-up K-giant, with a feisty emission spectrum and a rotational speed well above its station."
315,SCEPTRUM,,,Eridani,53 Eridani,No coords,4,38,10.8,-14,18,14,,,3.87,K,,,"K-class dwarf of the House of Hohernzollen, sometime capital of the Holy Roman Stellar Empire."
316,SCHEAT,,,Pegasi,Beta Pegasi,cache,23,3,46.45746,28,4,58.0336,6.0378543706,0.4901370982,2.42,M2.3 II-III,2.1,,"Festive red giant with a cheerful atmosphere compared to most stars of that class, garlanded with ribbons of ejected gas."
317,SCHEDAR,,,Cassiopeiae,Alpha Cassiopeiae,cache,0,40,30.4405,56,32,14.392,0.1767466208,0.9867625782,2.25,K0IIIa,4&ndash;5,,"Mature yellow giant with a waxy orange chromosphere and pungent spectrum, a line-of-sight cognate with SADR."
318,SEAT,,,Aquarii,Pi Aquarii,cache,22,25,16.62285,1,22,38.6346,5.8698784576,0.0240401389,4.66,B1 Ve,10.7 ± 0.7,,"When you wish upon a star, it is routed to the demiurges of this binary, currently running a three-cosmic-year backlog."
319,SECUNDA STRUTHIONUM,,,Ceti,Theta Ceti,cache,1,24,1.4,8,11,0,0.3666209538,0.1428261105,3.6,K,,,"K-giant, the inhabitants of its one planet have no culture apart from a single sport, which they are bad at."
320,SECUNDUS HYADUM,,,Tauri,Delta1 Tauri,cache,4,22,56.1,17,32,33,1.1472703672,0.306174384,3.77,K,,,"Binary star, female in myth but male in grammar. The real genders of stars are noncommutative vector operators."
321,SEGIN,,,Cassiopeiae,Epsilon Cassiopeiae,cache,1,,23.72567,63,40,12.3628,0.4991442162,1.1112528936,3.37,B3 III,9.2 ± 0.2,,"Blue-white cosmic pearl secreted by the galactic animal around an ancient generation ship, lost in a nacreous tomb."
322,SEGINUS,,,Boötis,Gamma Boötis,cache,14,32,4.6719,38,18,29.709,3.8051575195,0.6686051368,3,A7 III, ,,Classical white star which is currently in a smooth transition from a hydrogen-fusing dwarf to a bright giant.
323,SEPHDAR,,,Sagittarii,Eta Sagittarii,cache,18,17,37.63505,-36,45,42.0667,4.7893023717,-0.6416124452,3.11,M2 III, ,,"Neurotic red giant with strong emission lines at 4860 ångströms, indicating a buildup of resentment."
324,SHAM,,,Sagittae,Alpha Sagittae,cache,19,40,5.8,18,0,50,5.1491430813,0.3144016722,4.39,G,,,More than 70% of this yellow giant's mass has been converted to broth and encouraging pamphlets by a replicator outbreak.
325,SHAULA,,,Scorpii,Lambda Scorpii,cache,17,33,36.52,-37,6,13.76,4.5972350652,-0.6475838629,1.62,B1.5-2 IV+ (A), ,,"Quintuple system whose worlds were reprocessed into a superweapon, the Sting, now used as a Memorial to Forgotten Wars."
326,SHE,,,Columbae,Mu Columbae,cache,5,45,59.9,32,18,23,1.5097025308,0.5638528555,5.15,O9.5 V,12-15,,Hot O-class dwarf which was ejected from the Orion supernova factory after a disagreement with local demiurges.
327,SHELIAK,,,Lyrae,Beta Lyrae,cache,18,50,4.79525,33,21,45.61,4.9309038573,0.5822884291,3.52,B6–8II / B,A: 2.83 ± 0.18 ''M'',,"Semi-detached binary, Roche lobes kissing in a fever of x-rays and plasma, attracting complaints from the neighbours."
328,SHERATAN,,,Arietis,Beta Arietis,cache,1,54,38.41099,20,48,28.9133,0.5002121628,0.36316866,2.655,A5 V,2.34 ± 0.10,,Comfortable white star with a spotless spectrum and an exceptionally high thread count.
329,SIMIRAM,,,Carinae,Omega Carinae,cache,10,13,44.21739,-70,2,16.4563,2.677932658,-1.2223920352,3.29,B8 IIIe,,,"Blue giant, rare example of a system where organic life forms invented machine intelligence."
330,SINISTRA,,,Ophiuchi,Nu Ophiuchi,cache,17,59,1.59191,-9,46,25.0798,4.7081414242,-0.1705820806,3.332,K0 IIIa CN –1,3.04,,"K-giant with an peaceful culture belying its name, with the exception of its inner brown dwarf, which is a real dump."
331,SIRIUS,,,Canis Majoris,Alpha Canis Majoris,cache,6,45,8.9173,-16,42,58.017,1.767794352,-0.2917512594,-1.47,A1V (A),2.02,,"Blue-white star, its red colour several thousand years ago was due to an outbreak of dragons on its white dwarf."
332,SIRRAH,,,Andromedae,Alpha Andromedae,cache,0,8,23.2586,29,5,25.555,0.0365979982,0.5077238183,2.06,G5,,,"A-binary whose planets lie under a curse of perpetual renaissance, excelling in ostentation, virtù, poetry and war."
333,SITULA,,,Aquarii,Kappa Aquarii,cache,22,37,45.38049,-4,13,40.9939,5.9243296498,-0.0737934608,5.03,K2 III, ,,"Orange giant, all of its planets are waterworlds, studded with buoyant pumice islands, webbed with hundred-mile kelp."
334,SKAT,,,Aquarii,Delta Aquarii,cache,22,54,39.0125,-15,49,14.953,5.9980430497,-0.2761254042,3.252,A3 V,2,,"Remote star used by demiurges as a prison for a powerful cacodæmon, an A-class dwarf with an unspeakable spectrum."
335,SPEEDY MIC,,,Microscopii,BO Microscopii,cache,20,47,45.00732,-36,35,40.7905,5.4443369678,-0.6386973759,9.39,K3Ve,0.82 ± 0.08,,"Young K-dwarf, spinning wildly and breaking out in a mass of sunspots and absurdly styled prominences."
336,SPICA,,,Virginis,Alpha Virginis,cache,13,25,11.5793,-11,9,40.759,3.5133171901,-0.1948018168,1.04,B1 III-IV/B2 V,10.25 ± 0.68,,"Binary system of time-reversed blue dwarfs, its inhabitants cherish the memory of their creation in a great supernova."
337,STEROPE I,,,Tauri,21 Tauri,No coords,3,45,54.4,24,33,17,,,5.76,B,,,"Blue dwarf in the Pleiades, with STEROPE II (q.v.) formed part of an ancient experiment in 3D broadcasting."
338,STEROPE II,,,Tauri,22 Tauri,cache,3,46,2.9,24,31,41,0.9857037839,0.4285607497,5.76,A,,,"Legend says that if the galactic animal should close one of its eyes, this star (or STEROPE I) would go out."
339,SUALOCIN,,,Delphini,Alpha Delphini,cache,20,39,38.287,15,54,43.49,5.4089416673,0.2777181965,3.77,A,,,"B-dwarf, second of the stars which Niccolò Cacciatore named after himself as a practical joke. See also: ROTANEV."
340,SUBRA,,,Leonis,Omicron Leonis,cache,9,41,9.03,9,53,32.3,2.5357474187,0.1726533026,3.53,F9III/A5mV,2.12/1.87 ± 0.01,,"Binary system, its sole planet home to a breed of powerful humanoids who sustain a thriving superhero export industry."
341,SULAFAT,,,Lyrae,Gamma Lyrae,cache,18,58,56.62241,32,41,22.4003,4.9695794198,0.5705403769,3.261,B9 III,,,"Blue giant, the Skein fragment attached to its South Pole oscillates in resonance with the Song of Sulafat."
342,SYRMA,,,Virginis,Iota Virginis,cache,14,16,0.9,-6,0,2,3.7350700491,-0.1047294514,4.07,F,,,Mischievous F-class dwarf with a coquettish emission spectrum and slight unpredictable variability.
343,TABIT,,,Orionis,Pi3 Orionis,cache,4,49,50.41091,6,57,40.5883,1.2646663694,0.1214971606,3.16,F6 V,1.236,,"Tiny, virtual star, created when an astronomer looked at the massive π⁴ Orionis through the wrong end of a telescope."
344,TALITHA AUSTRALIS,,,Ursae Majoris,Kappa Ursae Majoris,cache,9,3,37.52762,47,9,23.489,2.3720135451,0.8230366202,3.6,A,,,"A-dwarf whose planets orbit in two ecliptic planes, a consequence of an ancient demarcation dispute."
345,TALITHA BOREALIS,,,Ursae Majoris,Iota Ursae Majoris,cache,8,59,12.45362,48,2,30.5741,2.3527368199,0.8384880448,3.14,A7 IV, ,,"A pair of A-subgiants orbited by a pair of M-dwarfs. On its worlds, New Year³'s Eve is a really big deal."
346,TANG,,,Serpentis,Eta Serpentis,cache,18,21,18.60056,-2,53,55.7766,4.805371437,-0.0505940727,3.26,K0 III-IV,2,,"Vivid orange giant, its bright hue a side-effect of its use as a dumping ground for surplus astronaut refreshments."
347,TANIA AUSTRALIS,,,Ursae Majoris,Mu Ursae Majoris,cache,10,22,19.744,41,29,58.28,2.715422811,0.7243033008,3.06,M0 IIIab, ,,"Friendly red giant with a cheerful, easygoing chromosphere and a somewhat coarse emission spectrum."
348,TANIA BOREALIS,,,Ursae Majoris,Lambda Ursae Majoris,cache,10,17,5.78287,42,54,51.6808,2.6925909134,0.7489968047,3.45,A2 IV,2.4,,"Beautiful, frosty white star, all of whose planets orbit at a respectable, if chilly, distance."
349,TARAZED,,,Aquilae,Gamma Aquilae,cache,19,46,15.58029,10,36,47.7408,5.1760342628,0.1852363546,2.712,K3 II,5.66 ± 0.66,,"Second swan consort of ALTAIR (q.v.), a K-type star whose gas giants sustain vast, blindly floating wings."
350,TAYGETA,,,Tauri,19 Tauri,cache,3,45,12.5,24,28,2,0.9826567299,0.4270335866,4.3,B,,,"Run-down member of the Pleiades cluster, a blue giant whose system is being gentrified by middle-class renobots."
351,TEGMEN,,,Cancri,Zeta Cancri,cache,8,12,12.7,17,38,52,2.14767855,0.3080118279,4.67,F,,,Quadruple system in which life evolved separately on the worlds of each sun. Exports include gas membranes and diplomats.
352,TEJAT POSTERIOR,,,Geminorum,Mu Geminorum,cache,6,22,57.62686,22,30,48.8979,1.6709801792,0.3929361454,2.857,M3 III,2.1,,"Home to a monopod race who await their Messiah, The Many-Kneed, The One With Feet, He Who Shall Kick Arse."
353,TEJAT PRIOR,,,Geminorum,Eta Geminorum,cache,6,14,52.657 / 52.567,22,30,24.48 / 24.51,1.6357121757,0.3928177641,3.5,M,,,A red giant orbited by a blue and yellow dwarf: its planets' sunsets can cause permanent nerve damage.
354,TERTIA STRUTHIONUM,,,Ceti,Tau Ceti,cache,1,44,4.0829,-15,56,14.928,0.4540825224,-0.2781615005,3.5,G8.5 V,0.783 ± 0.012,,"G-class star of many names, the Third Hen Ostrich, Durre Menthor (the Spilled Pearls), the Tipsy Astronomer, &amp;c."
355,THABIT,,,Orionis,Upsilon Orionis,cache,5,31,55.8,-7,18,5,1.4483178465,-0.1274332761,4.62,B0 V,20.6,,"B-giant, in an example of the fixed-point theorem it is the only star in the Galaxy whose constellations never change."
356,THANIH AL ADZARI,,,Canis Majoris,Omicron2 Canis Majoris,cache,7,3,1.47211,-23,49,59.8523,1.8457927388,-0.4159694223,3.043,B3 Ia,21.4 ± 2.2,,"Huge and luminous blue giant, its system's inhabitants have not yet noticed the rest of the Galaxy."
